AM,Band gap energy (eV),Reported band gap energy (eV),Simulated V_oc (V),Reported V_oc (V)
1.0,1.5673588854641454,N/A,1.28486782235888,N/A
1.0,1.6077719316180819,N/A,1.2904854649403177,N/A
1.0,1.5909474150693015,N/A,1.2994359421026391,N/A
1.0,1.562633174923761,N/A,1.2565742776124968,N/A
1.0,1.6072347748218614,N/A,1.2786153541677416,N/A
1.0,1.613402684810717,N/A,1.3005290399849667,N/A
1.0,1.5927168459132024,N/A,1.3092485321697516,N/A
1.0,1.5217568195011326,N/A,1.2284333798629419,N/A
1.0,1.5850854577767328,N/A,1.2824496438943886,N/A
1.0,1.6028827426501127,N/A,1.303893592036441,N/A
1.0,1.6344368587974094,N/A,1.3354999772146645,N/A
1.0,1.5976626573791437,N/A,1.2777077912534782,N/A
1.0,1.63424061555754,N/A,1.3185451613998218,N/A
1.25,1.5673588854641454,N/A,1.28082450306521,N/A
1.25,1.6077719316180819,N/A,1.2861211889654973,N/A
1.25,1.5909474150693015,N/A,1.2957155618282503,N/A
1.25,1.562633174923761,N/A,1.252670394648798,N/A
1.25,1.6072347748218614,N/A,1.275324095787046,N/A
1.25,1.613402684810717,N/A,1.2965415236799822,N/A
1.25,1.5927168459132024,N/A,1.3052774789531805,N/A
1.25,1.5217568195011326,N/A,1.2246267097096777,N/A
1.25,1.5850854577767328,N/A,1.2785333291864118,N/A
1.25,1.6028827426501127,N/A,1.3000704307444855,N/A
1.25,1.6344368587974094,N/A,1.3318138951128458,N/A
1.25,1.5976626573791437,N/A,1.2737080808103416,N/A
1.25,1.63424061555754,N/A,1.3146874635937973,N/A
1.5,1.5673588854641454,1.59,1.278885665973477,1.08
1.5,1.6077719316180819,1.6,1.2841071682287222,1.069
1.5,1.5909474150693015,1.6,1.2938241409571334,1.05
1.5,1.562633174923761,1.6,1.250772834048886,1.03
1.5,1.6072347748218614,nan,1.2735507859424946,1.06
1.5,1.613402684810717,1.55,1.2946071879396797,1.06
1.5,1.5927168459132024,1.6,1.3033264048709816,0.973
1.5,1.5217568195011326,1.6,1.222749752317722,1.0759999999999998
1.5,1.5850854577767328,1.6,1.2766147132190666,1.156
1.5,1.6028827426501127,1.55,1.2981515912016646,0.89
1.5,1.6344368587974094,1.55,1.3299127716696382,0.97
1.5,1.5976626573791437,1.6,1.2717581802900884,1.11
1.5,1.63424061555754,1.6,1.3127536820043455,0.88
1.75,1.5673588854641454,N/A,1.2766958756960476,N/A
1.75,1.6077719316180819,N/A,1.2818510690778524,N/A
1.75,1.5909474150693015,N/A,1.291669874015958,N/A
1.75,1.562633174923761,N/A,1.2486195673073301,N/A
1.75,1.6072347748218614,N/A,1.2714988089130095,N/A
1.75,1.613402684810717,N/A,1.2924190952954697,N/A
1.75,1.5927168459132024,N/A,1.3011204665261722,N/A
1.75,1.5217568195011326,N/A,1.2206151442034003,N/A
1.75,1.5850854577767328,N/A,1.2744400401742593,N/A
1.75,1.6028827426501127,N/A,1.295973217599846,N/A
1.75,1.6344368587974094,N/A,1.327746570908042,N/A
1.75,1.5976626573791437,N/A,1.269554600457955,N/A
1.75,1.63424061555754,N/A,1.310561829427812,N/A
2.0,1.5673588854641454,N/A,1.2745522756573944,N/A
2.0,1.6077719316180819,N/A,1.2796459381634218,N/A
2.0,1.5909474150693015,N/A,1.2895530832998596,N/A
2.0,1.562633174923761,N/A,1.2465098921102444,N/A
2.0,1.6072347748218614,N/A,1.269474486513923,N/A
2.0,1.613402684810717,N/A,1.290275171736932,N/A
2.0,1.5927168459132024,N/A,1.2989567138756983,N/A
2.0,1.5217568195011326,N/A,1.2185231336124926,N/A
2.0,1.5850854577767328,N/A,1.2723080126580666,N/A
2.0,1.6028827426501127,N/A,1.2938341234630062,N/A
2.0,1.6344368587974094,N/A,1.325615609523821,N/A
2.0,1.5976626573791437,N/A,1.267394381605605,N/A
2.0,1.63424061555754,N/A,1.308410324994105,N/A
