Ref_DOI_number,Perovskite_composition_short_form,Perovskite_composition_long_form,EQE_integrated_Jsc,JV_default_Voc,JV_default_Jsc,Perovskite_band_gap
10.1038/NMAT4795,MASnI | MAPbI,MASnI3 | MAPbI3,42.33,0.688,42.1,
10.1002/advs.201800568,MAPbI,MAPbI3,25.9,1.11,24.94,1.6
10.1016/j.nanoen.2016.08.006,MAPbI,MAPbI3,25.66,0.82,26.41,1.6
10.1002/aenm.201903369,MAPbI,MAPbI3,25.51,1.057,25.75,1.6
10.1002/aenm.201903369,MAPbI,MAPbI3,24.82,1.003,24.36,1.6
10.1016/j.nanoen.2019.104014,MAPbI,MAPbI3,24.7,1.08,25.3,1.6
10.1039/d0se00549e,MAPbI,MAPbI3,24.43,0.97,25.73,
10.1016/j.nanoen.2019.104014,MAPbI,MAPbI3,24.29,1.06,24.8,1.6
10.1021/acssuschemeng.9b02044,MAPbI,MAPbI3,24.2,1.09,24.38,1.6
10.1039/c8nr07638c,MAPbI,MAPbI3,24.13,1.11,23.9,1.6
10.1021/acsami.9b09018,MAPbI,MAPbI3,24.1,0.966,24.85,1.6
10.1002/adfm.202001460,MAPbI,MAPbI3,24.0,1.1,23.3,
10.1016/j.solmat.2017.01.013,MAPbI,MAPbI3,23.9,0.94,24.1,1.6
10.1021/acsami.9b09018,MAPbI,MAPbI3,23.9,0.999,24.33,1.6
10.1002/solr.201800269,MAPbI,MAPbI3,23.9,1.08,24.19,1.6
10.1039/c7ta08947c,MAPbI,MAPbI3,23.8,1.02,24.95,1.6
10.1039/c7nr07933h,MAPbI,MAPbI3,23.8,0.993,24.07,1.6
10.1016/j.dyepig.2018.07.025,MAPbI,MAPbI3,23.8,1.01,24.2,1.6
10.1039/c8ta05264f,MAPbI,MAPbI3,23.8,1.06,22.05,1.59
10.3390/ma11050778,MAPbI,MAPbI3,23.76,1.09,24.3,1.55
10.1021/acsaem.8b00447,MAPbI,MAPbI3,23.629,1.012,23.81,1.6
10.1016/j.jallcom.2020.153730,MAPbI,MAPbI3,23.62,1.039,24.6,
10.1021/acssuschemeng.9b02044,MAPbI,MAPbI3,23.61,1.09,23.37,1.6
10.1021/acs.nanolett.7b00847,MAPbI,MAPbI3,23.6,0.97,22.9,1.6
10.1016/j.joule.2020.01.004,MAPbI,MAPbI3,23.55,1.13,23.55,
10.1016/j.joule.2020.01.004,MAPbI,MAPbI3,23.55,1.13,23.83,
10.1002/aenm.201800399,FAMAPbI,FAMAPbI3,23.52,1.03,24.59,
10.1002/adfm.201800475,MAPbI,MAPbI3,23.5,1.08,23.52,1.6
10.1021/acsami.9b09018,MAPbI,MAPbI3,23.5,0.95,24.12,1.6
10.1021/acsaem.9b00769,MAPbI,MAPbI3,23.5,1.106,23.73,1.6
10.1002/cssc.201800758,MAPbI,MAPbI3,23.5,1.08,24.29,1.6
10.1021/acsenergylett.9b00847,MAPbI,MAPbI3,23.4,1.0759999999999998,23.46,1.6
