Wvlgth Direct_normal_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar Zonal_ground_reflectance
.2800E+03 .2955E-21 .6272E-21 .9228E-21 .2994E-21 .6910E-21 .3219E-01
.2805E+03 .7030E-20 .1139E-19 .1842E-19 .7121E-20 .1252E-19 .3204E-01
.2810E+03 .3171E-19 .4561E-19 .7732E-19 .3212E-19 .5012E-19 .3202E-01
.2815E+03 .8016E-18 .9062E-18 .1708E-17 .8118E-18 .9937E-18 .3186E-01
.2820E+03 .5829E-17 .5647E-17 .1148E-16 .5903E-17 .6182E-17 .3178E-01
.2825E+03 .2156E-16 .1862E-16 .4019E-16 .2183E-16 .2036E-16 .3175E-01
.2830E+03 .8483E-16 .6486E-16 .1497E-15 .8589E-16 .7079E-16 .3170E-01
.2835E+03 .1611E-15 .1136E-15 .2747E-15 .1631E-15 .1238E-15 .3170E-01
.2840E+03 .3021E-14 .1710E-14 .4731E-14 .3057E-14 .1857E-14 .3154E-01
.2845E+03 .9969E-14 .5002E-14 .1497E-13 .1009E-13 .5418E-14 .3150E-01
.2850E+03 .3088E-13 .3045E-13 .6133E-13 .3125E-13 .3336E-13 .3241E-01
.2855E+03 .1561E-12 .1519E-12 .3080E-12 .1580E-12 .1663E-12 .3249E-01
.2860E+03 .4946E-12 .4661E-12 .9607E-12 .5005E-12 .5102E-12 .3255E-01
.2865E+03 .2909E-11 .2699E-11 .5608E-11 .2943E-11 .2955E-11 .3264E-01
.2870E+03 .9236E-11 .8391E-11 .1763E-10 .9344E-11 .9183E-11 .3271E-01
.2875E+03 .3525E-10 .3184E-10 .6709E-10 .3566E-10 .3485E-10 .3281E-01
.2880E+03 .1899E-09 .1243E-09 .3142E-09 .1921E-09 .1354E-09 .3251E-01
.2885E+03 .5086E-09 .3332E-09 .8418E-09 .5144E-09 .3631E-09 .3261E-01
.2890E+03 .1618E-08 .1069E-08 .2687E-08 .1636E-08 .1165E-08 .3272E-01
.2895E+03 .5747E-08 .3891E-08 .9638E-08 .5812E-08 .4242E-08 .3285E-01
.2900E+03 .1617E-07 .1114E-07 .2731E-07 .1635E-07 .1214E-07 .3297E-01
.2905E+03 .3615E-07 .2513E-07 .6128E-07 .3655E-07 .2741E-07 .3308E-01
.2910E+03 .8887E-07 .6391E-07 .1528E-06 .8985E-07 .6976E-07 .3322E-01
.2915E+03 .2633E-06 .2057E-06 .4690E-06 .2662E-06 .2248E-06 .3343E-01
.2920E+03 .6211E-06 .4217E-06 .1043E-05 .6278E-06 .4599E-06 .3335E-01
.2925E+03 .9680E-06 .6398E-06 .1608E-05 .9784E-06 .6975E-06 .3342E-01
.2930E+03 .1901E-05 .1241E-05 .3142E-05 .1921E-05 .1353E-05 .3350E-01
.2935E+03 .4752E-05 .3161E-05 .7913E-05 .4803E-05 .3447E-05 .3362E-01
.2940E+03 .8456E-05 .5571E-05 .1403E-04 .8545E-05 .6074E-05 .3371E-01
.2945E+03 .1303E-04 .1001E-04 .2304E-04 .1317E-04 .1094E-04 .3401E-01
.2950E+03 .2348E-04 .1945E-04 .4293E-04 .2373E-04 .2127E-04 .3420E-01
.2955E+03 .5070E-04 .4702E-04 .9772E-04 .5123E-04 .5150E-04 .3445E-01
.2960E+03 .8455E-04 .5708E-04 .1416E-03 .8542E-04 .6227E-04 .3414E-01
.2965E+03 .1220E-03 .8524E-04 .2072E-03 .1232E-03 .9305E-04 .3428E-01
.2970E+03 .1615E-03 .1160E-03 .2774E-03 .1631E-03 .1266E-03 .3442E-01
.2975E+03 .2984E-03 .2246E-03 .5230E-03 .3014E-03 .2455E-03 .3458E-01
.2980E+03 .4502E-03 .3526E-03 .8028E-03 .4547E-03 .3855E-03 .3473E-01
.2985E+03 .5430E-03 .4380E-03 .9810E-03 .5484E-03 .4791E-03 .3487E-01
.2990E+03 .7303E-03 .6065E-03 .1337E-02 .7375E-03 .6637E-03 .3501E-01
.2995E+03 .1226E-02 .1080E-02 .2306E-02 .1238E-02 .1183E-02 .3519E-01
.3000E+03 .1426E-02 .1291E-02 .2717E-02 .1440E-02 .1414E-02 .3532E-01
.3005E+03 .1706E-02 .1591E-02 .3297E-02 .1723E-02 .1743E-02 .3594E-01
.3010E+03 .2563E-02 .2517E-02 .5079E-02 .2587E-02 .2759E-02 .3658E-01
.3015E+03 .3483E-02 .3575E-02 .7058E-02 .3517E-02 .3920E-02 .3722E-01
.3020E+03 .3743E-02 .3903E-02 .7647E-02 .3779E-02 .4281E-02 .3781E-01
.3025E+03 .5370E-02 .5488E-02 .1086E-01 .5421E-02 .6017E-02 .3787E-01
