Ref_DOI_number,Perovskite_composition_short_form,Perovskite_composition_long_form,EQE_integrated_Jsc,JV_default_Voc,JV_default_Jsc,Perovskite_band_gap
10.1021/acsenergylett.9b02348,FAPbI,FAPbI3,24.44,1.114,24.15,
10.1126/science.aaa9272,FAPbI,FAPbI3,24.4,1.06,24.7,1.48
10.1021/acs.nanolett.9b02781,FAPbI | (PEA)PbI,FAPbI3 | (PEA)2PbI4,24.3,1.14,24.2,1.48
10.1002/advs.201901591,FAPbI,FAPbI3,24.02,1.09,24.99,1.48
10.1002/advs.201901591,FAPbI,FAPbI3,24.02,1.09,24.99,1.48
10.1021/acsenergylett.9b02348,FAPbI,FAPbI3,23.71,1.05,23.48,
10.1016/j.jpowsour.2019.227484,CsFAPbI,CsFAPbI3,23.53,1.05,24.0,1.56
10.1016/j.ijleo.2018.09.066,FAPbI,FAPbI3,23.43,0.8,23.21,1.51
10.1039/d0ta03030a,FAPbI,FAPbI3,23.1,1.095,23.8,1.55
10.1002/cssc.201800610,FAPbI,FAPbI3,23.0,1.07,23.17,1.5
10.1002/adfm.201902974,FAPbI,FAPbI3,23.0,1.08,24.56,1.526
10.1002/adfm.201902974,FAPbI,FAPbI3,23.0,1.08,24.56,1.526
10.1016/j.scib.2019.08.029,FAPbI,FAPbI3,23.0,1.06,23.75,1.48
10.1016/j.mtener.2017.07.010,FAPbI,FAPbI3,22.8,1.057,23.2,1.48
10.1016/j.jechem.2019.04.019,FAPbI,FAPbI3,22.72,1.08,23.4,1.48
10.1002/solr.201900294,FAPbI,FAPbI3,22.54,1.118,22.81,1.48
10.1016/j.nanoen.2018.11.021,FAPbI,FAPbI3,22.5,1.08,22.5,1.48
10.1002/advs.201901591,FAPbI,FAPbI3,22.5,1.04,23.97,1.48
10.1002/advs.201901591,FAPbI,FAPbI3,22.5,1.04,23.97,1.48
10.1039/C7EE03113K,CsFAPbI,CsFAPbI3,22.5,0.98,22.48,1.55
10.1002/cssc.201800610,FAPbI,FAPbI3,22.5,1.08,22.45,1.5
10.1021/acs.nanolett.9b02781,FAPbI,FAPbI3,22.4,1.06,23.99,1.48
10.1021/jacs.6b02787,FAPbI,FAPbI3,22.4,1.04,22.3,1.45
10.1016/j.mtener.2017.10.002,FAPbI,FAPbI3,22.4,1.08,22.47,1.48
10.1021/acsenergylett.8b01165,CsFAPbI,CsFAPbI3,22.14,0.851,17.15,1.51
10.1016/j.jechem.2019.04.019,FAPbI,FAPbI3,22.12,1.08,23.37,1.48
10.1016/j.jechem.2019.04.019,FAPbI,FAPbI3,22.1,1.07,22.95,1.48
10.1016/j.jpowsour.2019.227484,CsFAPbI,CsFAPbI3,22.08,1.04,22.11,1.56
10.1002/adfm.201704836,FAPbI,FAPbI3,22.01,1.103,22.55,1.48
10.1016/j.jechem.2019.04.019,FAPbI,FAPbI3,21.96,1.07,22.88,1.48
10.1002/cssc.201800610,FAPbI,FAPbI3,21.95,1.07,22.42,1.5
10.1016/j.jechem.2019.04.019,FAPbI,FAPbI3,21.93,1.07,22.93,1.48
10.1039/c6cp06486h,FAPbI,FAPbI3,21.82,1.04,23.01,1.48
10.1002/anie.201912051,FAPbI,FAPbI3,21.75,1.08,22.08,1.48
10.1002/adma.201603062,FAPbI,FAPbI3,21.7,1.08,23.3,1.48
10.1002/cssc.201601027,FAPbI,FAPbI3,21.65,1.0,22.29,1.48
10.1021/acsami.7b08429,FAPbI,FAPbI3,21.57,1.07,23.1,1.54
10.1002/advs.201901591,FAPbI,FAPbI3,21.45,1.029,22.62,1.48
10.1002/solr.201900294,FAPbI,FAPbI3,21.42,1.09,21.8,1.48
10.1002/solr.201900183,FAPbI,FAPbI3,21.36,1.07,22.42,1.48
10.1021/acs.chemmater.6b02583,FAPbI,FAPbI3,21.23,1.05,23.34,1.48
10.1038/s41467-018-05454-4,FAPbI,FAPbI3,21.2,1.05,24.23,1.48
10.1021/acs.accounts.5b00440,FAPbI,FAPbI3,21.1,0.903,21.5,1.53
10.1002/cssc.201800610,FAPbI,FAPbI3,21.0,1.12,21.37,1.5
10.1016/j.mtener.2017.10.002,FAPbI,FAPbI3,21.0,1.04,21.0,1.48
10.1016/j.ijleo.2018.09.066,FAPbI,FAPbI3,20.98,0.78,20.24,1.58
10.1016/j.nanoen.2018.11.021,FAPbI,FAPbI3,20.8,1.01,20.74,1.48
10.1021/acs.accounts.5b00440,FAPbI,FAPbI3,20.7,0.922,21.0,1.48
