Band gap energy (eV),Reported band gap energy (eV),J_o (A/m^2)
1.4929386872625463,1.48,1.8256357674474566e-18
1.5850824744432925,1.48,4.895142696763624e-19
1.5442888540959199,1.48,2.544424766591822e-19
1.520273988444245,1.48,4.412052764842283e-19
1.5350369828254322,nan,5.291400428768805e-19
1.548202619025886,1.48,7.325529678116326e-19
1.587331964366647,1.58,1.6658558793965055e-20
1.532232964917215,1.5,5.069521747590837e-19
1.5261856722570308,1.45,6.6851174094860515e-19
1.5645724370543752,1.48,5.636661412779353e-19
1.5198472927902407,1.48,4.923025736510042e-19
1.5437003401852698,1.48,1.6553145807805306e-18
1.5652598410142844,1.48,1.783548161018673e-19
