AM,Band gap energy (eV),Reported band gap energy (eV),Simulated J_sc (mA/cm^2),Reported J_sc (mA/cm^2)
1.0,1.4929386872625463,N/A,26.251957725011504,N/A
1.0,1.5850824744432925,N/A,24.91409368986553,N/A
1.0,1.5442888540959199,N/A,25.074642744522972,N/A
1.0,1.520273988444245,N/A,23.935405379590787,N/A
1.0,1.5350369828254322,N/A,29.29167987998776,N/A
1.0,1.548202619025886,N/A,28.949085398014148,N/A
1.0,1.587331964366647,N/A,18.04477536103917,N/A
1.0,1.532232964917215,N/A,27.46017448381509,N/A
1.0,1.5261856722570308,N/A,26.433506737744086,N/A
1.0,1.5645724370543752,N/A,28.86557734646213,N/A
1.0,1.5198472927902407,N/A,27.734465023799167,N/A
1.0,1.5437003401852698,N/A,25.69454544816993,N/A
1.0,1.5652598410142844,N/A,23.674503946974365,N/A
1.25,1.4929386872625463,N/A,28.949085398014148,N/A
1.25,1.5850824744432925,N/A,18.04477536103917,N/A
1.25,1.5442888540959199,N/A,27.46017448381509,N/A
1.25,1.520273988444245,N/A,26.433506737744086,N/A
1.25,1.5350369828254322,N/A,28.86557734646213,N/A
1.25,1.548202619025886,N/A,27.734465023799167,N/A
1.25,1.587331964366647,N/A,25.69454544816993,N/A
1.25,1.532232964917215,N/A,23.674503946974365,N/A
1.25,1.5261856722570308,N/A,23.204014497642554,N/A
1.25,1.5645724370543752,N/A,21.14313229552848,N/A
1.25,1.5198472927902407,N/A,21.38856615852853,N/A
1.25,1.5437003401852698,N/A,20.332485637757895,N/A
1.25,1.5652598410142844,N/A,25.144577437708683,N/A
1.5,1.4929386872625463,1.48,27.734465023799167,18.59
1.5,1.5850824744432925,1.48,25.69454544816993,21.8
1.5,1.5442888540959199,1.48,23.674503946974365,24.23
1.5,1.520273988444245,1.48,23.204014497642554,18.1
1.5,1.5350369828254322,nan,21.14313229552848,24.15
1.5,1.548202619025886,1.48,21.38856615852853,24.7
1.5,1.587331964366647,1.58,20.332485637757895,20.24
1.5,1.532232964917215,1.5,25.144577437708683,22.45
1.5,1.5261856722570308,1.45,25.028818809873112,22.3
1.5,1.5645724370543752,1.48,15.401379826177385,23.97
1.5,1.5198472927902407,1.48,23.4871937398222,23.75
1.5,1.5437003401852698,1.48,22.74703136956871,22.29
1.5,1.5652598410142844,1.48,24.893852880657946,22.47
1.75,1.4929386872625463,N/A,21.38856615852853,N/A
1.75,1.5850824744432925,N/A,20.332485637757895,N/A
1.75,1.5442888540959199,N/A,25.144577437708683,N/A
1.75,1.520273988444245,N/A,25.028818809873112,N/A
1.75,1.5350369828254322,N/A,15.401379826177385,N/A
1.75,1.548202619025886,N/A,23.4871937398222,N/A
1.75,1.587331964366647,N/A,22.74703136956871,N/A
1.75,1.532232964917215,N/A,24.893852880657946,N/A
1.75,1.5261856722570308,N/A,24.026195044260977,N/A
1.75,1.5645724370543752,N/A,22.127319153322453,N/A
1.75,1.5198472927902407,N/A,20.796877737927026,N/A
1.75,1.5437003401852698,N/A,21.70110764022856,N/A
1.75,1.5652598410142844,N/A,19.54815550867878,N/A
2.0,1.4929386872625463,N/A,23.4871937398222,N/A
2.0,1.5850824744432925,N/A,22.74703136956871,N/A
2.0,1.5442888540959199,N/A,24.893852880657946,N/A
2.0,1.520273988444245,N/A,24.026195044260977,N/A
2.0,1.5350369828254322,N/A,22.127319153322453,N/A
2.0,1.548202619025886,N/A,20.796877737927026,N/A
2.0,1.587331964366647,N/A,21.70110764022856,N/A
2.0,1.532232964917215,N/A,19.54815550867878,N/A
2.0,1.5261856722570308,N/A,19.842817990672465,N/A
2.0,1.5645724370543752,N/A,18.8117096022331,N/A
2.0,1.5198472927902407,N/A,23.366796838848682,N/A
2.0,1.5437003401852698,N/A,23.275904292008015,N/A
2.0,1.5652598410142844,N/A,14.263345369268105,N/A
