AM,Band gap energy (eV),Reported band gap energy (eV),Simulated V_oc (V),Reported V_oc (V)
1.0,1.4929386872625463,N/A,1.199918735656649,N/A
1.0,1.5850824744432925,N/A,1.2325947080706696,N/A
1.0,1.5442888540959199,N/A,1.249676733844944,N/A
1.0,1.520273988444245,N/A,1.2342448016836312,N/A
1.0,1.5350369828254322,N/A,1.2347670604668024,N/A
1.0,1.548202619025886,N/A,1.226053710568953,N/A
1.0,1.587331964366647,N/A,1.3116478489911731,N/A
1.0,1.532232964917215,N/A,1.2342052887752781,N/A
1.0,1.5261856722570308,N/A,1.2260685878451383,N/A
1.0,1.5645724370543752,N/A,1.232754153378402,N/A
1.0,1.5198472927902407,N/A,1.2352202968355321,N/A
1.0,1.5437003401852698,N/A,1.2018957773205676,N/A
1.0,1.5652598410142844,N/A,1.2573765314742833,N/A
1.25,1.4929386872625463,N/A,1.1967282042816243,N/A
1.25,1.5850824744432925,N/A,1.2283519162201122,N/A
1.25,1.5442888540959199,N/A,1.2455662504017158,N/A
1.25,1.520273988444245,N/A,1.2300273355297866,N/A
1.25,1.5350369828254322,N/A,1.2308204619135938,N/A
1.25,1.548202619025886,N/A,1.2222919680431814,N/A
1.25,1.587331964366647,N/A,1.307552915887627,N/A
1.25,1.532232964917215,N/A,1.2301651013046677,N/A
1.25,1.5261856722570308,N/A,1.222185675582574,N/A
1.25,1.5645724370543752,N/A,1.2289273105666103,N/A
1.25,1.5198472927902407,N/A,1.2315097290811325,N/A
1.25,1.5437003401852698,N/A,1.1980317894526793,N/A
1.25,1.5652598410142844,N/A,1.2540262203747727,N/A
1.5,1.4929386872625463,1.48,1.1949971026765256,0.74
1.5,1.5850824744432925,1.48,1.226324235194962,1.09
1.5,1.5442888540959199,1.48,1.2436269791831498,1.05
1.5,1.520273988444245,1.48,1.2280175918226812,0.9
1.5,1.5350369828254322,nan,1.2289248333105154,1.114
1.5,1.548202619025886,1.48,1.2204148740264642,1.06
1.5,1.587331964366647,1.58,1.3055684099019456,0.78
1.5,1.532232964917215,1.5,1.2282332157255698,1.08
1.5,1.5261856722570308,1.45,1.2202737540148685,1.04
1.5,1.5645724370543752,1.48,1.2270409496215575,1.04
1.5,1.5198472927902407,1.48,1.2296442788727946,1.06
1.5,1.5437003401852698,1.48,1.1961273992882224,1.0
1.5,1.5652598410142844,1.48,1.252235149485226,1.08
1.75,1.4929386872625463,N/A,1.1929876571263103,N/A
1.75,1.5850824744432925,N/A,1.2240503100637592,N/A
1.75,1.5442888540959199,N/A,1.2414397382869444,N/A
1.75,1.520273988444245,N/A,1.2257623978256362,N/A
1.75,1.5350369828254322,N/A,1.2267764633171698,N/A
1.75,1.548202619025886,N/A,1.2182784781080147,N/A
1.75,1.587331964366647,N/A,1.303333848599709,N/A
1.75,1.532232964917215,N/A,1.2260501546876765,N/A
1.75,1.5261856722570308,N/A,1.2181066783238979,N/A
1.75,1.5645724370543752,N/A,1.224897678624263,N/A
1.75,1.5198472927902407,N/A,1.227518180420776,N/A
1.75,1.5437003401852698,N/A,1.1939677806637008,N/A
1.75,1.5652598410142844,N/A,1.2501686406971846,N/A
2.0,1.4929386872625463,N/A,1.1910073606163756,N/A
2.0,1.5850824744432925,N/A,1.221823263725854,N/A
2.0,1.5442888540959199,N/A,1.2393011463535306,N/A
2.0,1.520273988444245,N/A,1.223555409860687,N/A
2.0,1.5350369828254322,N/A,1.2246739838134513,N/A
2.0,1.548202619025886,N/A,1.2161831836413965,N/A
2.0,1.587331964366647,N/A,1.3011445323929614,N/A
2.0,1.532232964917215,N/A,1.2239130728210676,N/A
2.0,1.5261856722570308,N/A,1.2159829781843219,N/A
2.0,1.5645724370543752,N/A,1.2227972748158047,N/A
2.0,1.5198472927902407,N/A,1.2254322677505842,N/A
2.0,1.5437003401852698,N/A,1.191851703730364,N/A
2.0,1.5652598410142844,N/A,1.2481319208573463,N/A
