Band gap energy (eV),Reported band gap energy (eV),J_o (A/m^2)
1.797253068355764,1.77,1.6767821434487787e-23
1.7228172662260446,1.75,7.6468804903669495e-22
1.7635964646979243,1.8,2.935855751733281e-23
1.8015030018701097,1.8,6.737620568785282e-24
1.573013266565005,nan,1.0200976569069452e-19
1.7954674914847508,1.77,7.454887438593481e-24
1.7633233415804317,1.78,2.9171034616798145e-23
1.798563869094078,1.79,4.403067021427624e-22
1.7965872075355651,1.79,4.968758088855723e-23
1.773525059355416,1.61,1.3894500070618119e-22
