AM,Band gap energy (eV),Reported band gap energy (eV),Simulated V_oc (V),Reported V_oc (V)
1.0,1.7228172662260446,N/A,1.3960416767423387,N/A
1.0,1.7635964646979243,N/A,1.477164420659167,N/A
1.0,1.8015030018701097,N/A,1.5152239814605186,N/A
1.0,1.7954674914847508,N/A,1.5112559495090232,N/A
1.0,1.7633233415804317,N/A,1.4782940247303424,N/A
1.0,1.798563869094078,N/A,1.405842845376784,N/A
1.0,1.7965872075355651,N/A,1.4631124530791388,N/A
1.0,1.773525059355416,N/A,1.4371683646367135,N/A
1.0,1.797253068355764,N/A,1.4914910817864089,N/A
1.25,1.7228172662260446,N/A,1.391810854047334,N/A
1.25,1.7635964646979243,N/A,1.4722759010290312,N/A
1.25,1.8015030018701097,N/A,1.5098075547398395,N/A
1.25,1.7954674914847508,N/A,1.506190134152737,N/A
1.25,1.7633233415804317,N/A,1.473412921867384,N/A
1.25,1.798563869094078,N/A,1.4016037058085926,N/A
1.25,1.7965872075355651,N/A,1.458962996757216,N/A
1.25,1.773525059355416,N/A,1.432805303202374,N/A
1.25,1.797253068355764,N/A,1.4867457052472726,N/A
1.5,1.7228172662260446,1.75,1.3897456958996335,1.32
1.5,1.7635964646979243,1.8,1.4700779638341375,1.263
1.5,1.8015030018701097,1.8,1.5075317187058743,1.2666
1.5,1.7954674914847508,1.77,1.5039182038611623,1.31
1.5,1.7633233415804317,1.78,1.4712083702904544,1.27
1.5,1.798563869094078,1.79,1.3994788380502068,1.33
1.5,1.7965872075355651,1.79,1.4568660450236284,1.33
1.5,1.773525059355416,1.61,1.4306842025180326,1.21
1.5,1.797253068355764,1.77,1.4845440174594375,1.23
1.75,1.7228172662260446,N/A,1.3874326040594551,N/A
1.75,1.7635964646979243,N/A,1.4676502548986925,N/A
1.75,1.8015030018701097,N/A,1.5050340576756074,N/A
1.75,1.7954674914847508,N/A,1.5014217095091462,N/A
1.75,1.7633233415804317,N/A,1.4687742565117512,N/A
1.75,1.798563869094078,N/A,1.3971034575761903,N/A
1.75,1.7965872075355651,N/A,1.4545160590351616,N/A
1.75,1.773525059355416,N/A,1.428317758819448,N/A
1.75,1.797253068355764,N/A,1.4821094771879135,N/A
2.0,1.7228172662260446,N/A,1.3851631647164158,N/A
2.0,1.7635964646979243,N/A,1.4652764300842074,N/A
2.0,1.8015030018701097,N/A,1.5025943170943907,N/A
2.0,1.7954674914847508,N/A,1.4989811329009586,N/A
2.0,1.7633233415804317,N/A,1.4663939744256047,N/A
2.0,1.798563869094078,N/A,1.394766557137002,N/A
2.0,1.7965872075355651,N/A,1.4522033252128277,N/A
2.0,1.773525059355416,N/A,1.4259947207559094,N/A
2.0,1.797253068355764,N/A,1.4797262560334041,N/A
