AM,Band gap energy (eV),Reported band gap energy (eV),Simulated J_sc (mA/cm^2),Reported J_sc (mA/cm^2)
1.0,1.664441567386878,N/A,20.498269753504132,N/A
1.0,1.6918209278177163,N/A,23.740067718198606,N/A
1.0,1.5968530059677342,N/A,20.735142700963927,N/A
1.0,1.6853735755120525,N/A,24.528516414177343,N/A
1.0,1.6162692898268145,N/A,27.003814957578225,N/A
1.25,1.664441567386878,N/A,17.784200551084208,N/A
1.25,1.6918209278177163,N/A,20.2209154684216,N/A
1.25,1.5968530059677342,N/A,18.670901458858765,N/A
1.25,1.6853735755120525,N/A,20.7306823322729,N/A
1.25,1.6162692898268145,N/A,22.999703499322088,N/A
1.5,1.664441567386878,1.64,16.520178368584183,21.08
1.5,1.6918209278177163,1.68,18.703609716150616,20.28
1.5,1.5968530059677342,1.63,17.56781608957418,18.7
1.5,1.6853735755120525,1.68,19.17610966687642,20.5
1.5,1.6162692898268145,1.77,21.306668735339265,17.8
1.75,1.664441567386878,N/A,15.187995045132691,N/A
1.75,1.6918209278177163,N/A,17.133215164342346,N/A
1.75,1.5968530059677342,N/A,16.3383281520889,N/A
1.75,1.6853735755120525,N/A,17.567976267707586,N/A
1.75,1.6162692898268145,N/A,19.548044545632983,N/A
2.0,1.664441567386878,N/A,13.980785039030867,N/A
2.0,1.6918209278177163,N/A,15.720922009725957,N/A
2.0,1.5968530059677342,N/A,15.204190954473091,N/A
2.0,1.6853735755120525,N/A,16.122442180466063,N/A
2.0,1.6162692898268145,N/A,17.965861122281808,N/A
