AM,Band gap energy (eV),Reported band gap energy (eV),Simulated V_oc (V),Reported V_oc (V)
1.0,1.664441567386878,N/A,1.3438409133199072,N/A
1.0,1.6918209278177163,N/A,1.384686773647577,N/A
1.0,1.5968530059677342,N/A,1.2924165680598236,N/A
1.0,1.6853735755120525,N/A,1.3747291121317307,N/A
1.0,1.6162692898268145,N/A,1.3127800648466024,N/A
1.25,1.664441567386878,N/A,1.3401691531009128,N/A
1.25,1.6918209278177163,N/A,1.3805389042048832,N/A
1.25,1.5968530059677342,N/A,1.289705630789492,N/A
1.25,1.6853735755120525,N/A,1.3703802490484254,N/A
1.25,1.6162692898268145,N/A,1.3086309009290245,N/A
1.5,1.664441567386878,1.64,1.3382631397435314,1.21
1.5,1.6918209278177163,1.68,1.3785224236678835,1.28
1.5,1.5968530059677342,1.63,1.2881313049247505,0.98
1.5,1.6853735755120525,1.68,1.3683650953587037,1.248
1.5,1.6162692898268145,1.77,1.306654225624689,1.214
1.75,1.664441567386878,N/A,1.3360895747195507,N/A
1.75,1.6918209278177163,N/A,1.3762552665869177,N/A
1.75,1.5968530059677342,N/A,1.2862556175045792,N/A
1.75,1.6853735755120525,N/A,1.3661007832851009,N/A
1.75,1.6162692898268145,N/A,1.3044272089371225,N/A
2.0,1.664441567386878,N/A,1.3339484752201967,N/A
2.0,1.6918209278177163,N/A,1.3740313082489828,N/A
2.0,1.5968530059677342,N/A,1.2843957559411936,N/A
2.0,1.6853735755120525,N/A,1.3638809886866725,N/A
2.0,1.6162692898268145,N/A,1.3022452508957063,N/A
