Wvlgth Direct_normal_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar Zonal_ground_reflectance
2.8000e+02 1.8360e-17 8.2000e-02 8.2000e-02 1.8360e-17 2.7240e-19 2.5180e-02
2.8050e+02 2.3790e-16 2.4682e-01 1.1738e-01 2.3790e-16 3.6420e-18 2.5260e-02
2.8100e+02 8.5230e-16 3.0015e-01 1.5275e-01 8.5230e-16 1.3070e-17 2.5340e-02
2.8150e+02 1.1960e-14 2.2028e-01 2.0750e-01 1.1960e-14 1.8810e-16 2.5420e-02
2.8200e+02 6.0560e-14 3.3700e-01 2.6225e-01 6.0560e-14 9.6180e-16 2.5510e-02
2.8250e+02 1.7480e-13 4.4300e-01 2.9063e-01 1.7480e-13 2.7820e-15 2.5590e-02
2.8300e+02 5.2410e-13 6.0309e-01 3.1900e-01 5.2410e-13 8.3550e-15 2.5670e-02
2.8350e+02 8.6420e-13 5.3844e-01 3.0588e-01 8.6420e-13 1.3680e-14 2.5750e-02
2.8400e+02 8.7840e-12 5.3331e-01 2.9275e-01 8.7840e-12 1.4230e-13 2.5830e-02
2.8450e+02 2.1790e-11 5.1626e-01 2.4100e-01 2.1790e-11 3.5340e-13 2.5910e-02
2.8500e+02 4.9610e-11 4.9258e-01 1.8925e-01 4.9610e-11 9.7690e-13 2.6020e-02
2.8550e+02 1.7490e-10 4.6104e-01 2.1613e-01 1.7490e-10 4.1690e-12 2.6130e-02
2.8600e+02 4.7580e-10 5.0914e-01 2.4300e-01 4.7580e-10 1.2240e-11 2.6230e-02
2.8650e+02 2.0700e-09 6.2879e-01 2.9600e-01 2.0700e-09 6.6440e-11 2.6360e-02
2.8700e+02 5.2480e-09 5.7967e-01 3.4900e-01 5.2480e-09 2.0740e-10 2.6500e-02
2.8750e+02 1.4960e-08 6.3634e-01 3.3525e-01 1.4960e-08 8.9990e-10 2.6740e-02
2.8800e+02 5.6010e-08 5.5979e-01 3.2150e-01 5.6010e-08 2.1140e-09 2.6650e-02
2.8850e+02 1.2300e-07 7.1671e-01 3.5925e-01 1.2300e-07 4.8350e-09 2.6740e-02
2.8900e+02 3.1880e-07 7.0233e-01 3.9700e-01 3.1880e-07 1.3130e-08 2.6840e-02
2.8950e+02 9.0560e-07 6.5153e-01 4.7487e-01 9.0560e-07 3.9650e-08 2.6940e-02
2.9000e+02 2.1180e-06 7.3230e-01 5.5275e-01 2.1180e-06 9.7050e-08 2.7030e-02
2.9050e+02 4.0500e-06 7.0912e-01 5.8137e-01 4.0500e-06 1.9150e-07 2.7130e-02
2.9100e+02 8.2650e-06 7.6960e-01 6.1000e-01 8.2650e-06 4.1170e-07 2.7230e-02
2.9150e+02 1.9390e-05 6.8542e-01 5.8763e-01 1.9390e-05 1.0560e-06 2.7350e-02
