Wavelength (nm)	Spectral irradiance (W m-2 nm-1)	Cumulative photon flux (cm-2 s-1)
280	0.082	5.77559E+12
281	0.15275	2.73701E+13
282	0.26225	6.45766E+13
283	0.319	1.09995E+14
284	0.29275	1.51823E+14
285	0.18925	1.78959E+14
286	0.243	2.13923E+14
287	0.349	2.64315E+14
288	0.3215	3.10898E+14
289	0.397	3.68621E+14
290	0.55275	4.49266E+14
291	0.61	5.38572E+14
292	0.56525	6.2161E+14
293	0.5385	7.00989E+14
294	0.53375	7.79937E+14
295	0.53325	8.59079E+14
296	0.5565	9.41952E+14
297	0.5015	1.01689E+15
298	0.51325	1.09384E+15
299	0.47825	1.16578E+15
300	0.4625	1.23558E+15
301	0.45925	1.30513E+15
302	0.471	1.37669E+15
303	0.5945	1.46732E+15
304	0.6285	1.56344E+15
305	0.63025	1.66015E+15
306	0.579	1.74929E+15
307	0.604	1.84257E+15
308	0.6405	1.94182E+15
309	0.57525	2.03125E+15
310	0.5545	2.11773E+15
311	0.73	2.23195E+15
312	0.708	2.34308E+15
313	0.697	2.45284E+15
314	0.7085	2.56476E+15
315	0.6695	2.67086E+15
316	0.61375	2.76844E+15
317	0.73225	2.88522E+15
318	0.7325	3.00241E+15
319	0.70625	3.11575E+15
320	0.77725	3.24089E+15
321	0.76875	3.36503E+15
322	0.72525	3.48252E+15
323	0.67275	3.59185E+15
324	0.73775	3.7121E+15
325	0.84	3.84945E+15
326	0.9825	4.01059E+15
327	1.00175	4.17539E+15
328	0.95875	4.3336E+15
329	1.0085	4.50053E+15
330	1.09	4.68149E+15
331	1.004	4.84869E+15
332	0.99	5.01405E+15
333	0.96125	5.17509E+15
334	0.9595	5.33632E+15
335	0.996	5.50418E+15
336	0.896	5.65564E+15
337	0.8355	5.7973E+15
338	0.92125	5.95395E+15
339	0.97125	6.1196E+15
340	1.03475	6.2966E+15
341	0.98775	6.46606E+15
342	0.99525	6.6373E+15
343	1.02325	6.81388E+15
344	0.876	6.96548E+15
345	0.90375	7.12235E+15
346	0.953	7.28824E+15
347	0.95725	7.45535E+15
348	0.93	7.61817E+15
349	0.91375	7.77861E+15
350	1.005	7.95558E+15
351	1.0475	8.14055E+15
352	0.976	8.31339E+15
353	0.9915	8.48948E+15
354	1.12	8.68895E+15
355	1.13	8.89077E+15
356	1.02975	9.0752E+15
357	0.87325	9.23204E+15
358	0.78975	9.37428E+15
359	0.86925	9.53128E+15
360	1.06	9.72326E+15
361	0.958	9.89726E+15
362	0.971	1.00741E+16
363	1.0575	1.02672E+16
364	1.06	1.04613E+16
365	1.115	1.06661E+16
366	1.265	1.0899E+16
367	1.2575	1.11312E+16
368	1.175	1.13487E+16
369	1.2025	1.1572E+16
370	1.2575	1.18061E+16
371	1.1875	1.20277E+16
372	1.1475	1.22425E+16
373	1.02725	1.24352E+16
374	0.933	1.26108E+16
375	0.99625	1.27987E+16
376	1.1075	1.30082E+16
377	1.1925	1.32344E+16
378	1.3775	1.34964E+16
379	1.235	1.37319E+16
380	1.1575	1.39532E+16
381	1.2125	1.41856E+16
382	0.96275	1.43706E+16
383	0.7515	1.45154E+16
384	0.83475	1.46767E+16
385	1.044	1.48789E+16
386	1.0105	1.50751E+16
387	1.0325	1.52761E+16
388	1.00925	1.54732E+16
389	1.08925	1.56863E+16
390	1.24	1.59296E+16
391	1.3175	1.61888E+16
392	1.215	1.64284E+16
393	0.77775	1.65822E+16
394	0.79625	1.674E+16
395	1.22	1.69825E+16
396	1.12075	1.72058E+16
397	0.777	1.73609E+16
398	1.27275	1.76158E+16
