Wvlgth Direct_normal_irradiance Difuse_tilted_irradiance Global_tilted_irradiance Beam_normal_+circumsolar Difuse_horiz-circumsolar Zonal_ground_reflectance
.2800E+03 .1984E-33 .2145E-20 .2145E-20 .2021E-33 .2377E-20 .3338E-01
.2805E+03 .2782E-31 .6253E-19 .6253E-19 .2840E-31 .6927E-19 .3348E-01
.2810E+03 .2403E-30 .2988E-18 .2988E-18 .2452E-30 .3310E-18 .3359E-01
.2815E+03 .3380E-28 .1990E-18 .1990E-18 .3449E-28 .2204E-18 .3370E-01
.2820E+03 .6981E-27 .6311E-18 .6311E-18 .7121E-27 .6991E-18 .3381E-01
.2825E+03 .5218E-26 .1768E-17 .1768E-17 .5322E-26 .1959E-17 .3392E-01
.2830E+03 .4450E-25 .5669E-17 .5669E-17 .4538E-25 .6280E-17 .3402E-01
.2835E+03 .1242E-24 .9846E-17 .9846E-17 .1267E-24 .1091E-16 .3413E-01
.2840E+03 .1396E-22 .1503E-15 .1503E-15 .1424E-22 .1664E-15 .3424E-01
.2845E+03 .1043E-21 .4654E-15 .4654E-15 .1063E-21 .5155E-15 .3435E-01
.2850E+03 .7811E-21 .1612E-14 .1612E-14 .7961E-21 .1786E-14 .3446E-01
.2855E+03 .1117E-19 .5948E-14 .5948E-14 .1138E-19 .6588E-14 .3456E-01
.2860E+03 .5394E-19 .1704E-13 .1704E-13 .5496E-19 .1887E-13 .3467E-01
.2865E+03 .7532E-18 .8694E-13 .8694E-13 .7674E-18 .9630E-13 .3478E-01
.2870E+03 .4526E-17 .2539E-12 .2539E-12 .4611E-17 .2812E-12 .3489E-01
.2875E+03 .3987E-16 .8998E-12 .8999E-12 .4061E-16 .9967E-12 .3500E-01
.2880E+03 .6161E-15 .3301E-11 .3301E-11 .6274E-15 .3656E-11 .3510E-01
.2885E+03 .2889E-14 .8067E-11 .8070E-11 .2942E-14 .8935E-11 .3521E-01
.2890E+03 .1637E-13 .2377E-10 .2378E-10 .1667E-13 .2632E-10 .3532E-01
.2895E+03 .1098E-12 .7919E-10 .7929E-10 .1118E-12 .8770E-10 .3543E-01
.2900E+03 .5195E-12 .2124E-09 .2129E-09 .5287E-12 .2352E-09 .3554E-01
.2905E+03 .1794E-11 .4562E-09 .4578E-09 .1826E-11 .5052E-09 .3565E-01
.2910E+03 .7446E-11 .1081E-08 .1088E-08 .7577E-11 .1197E-08 .3576E-01
.2915E+03 .4295E-10 .3102E-08 .3141E-08 .4371E-10 .3435E-08 .3588E-01
.2920E+03 .1743E-09 .6782E-08 .6942E-08 .1773E-09 .7509E-08 .3601E-01
.2925E+03 .3687E-09 .1101E-07 .1135E-07 .3750E-09 .1219E-07 .3613E-01
.2930E+03 .1071E-08 .2301E-07 .2399E-07 .1089E-08 .2547E-07 .3626E-01
.2935E+03 .4565E-08 .6338E-07 .6758E-07 .4642E-08 .7014E-07 .3641E-01
.2940E+03 .1165E-07 .1195E-06 .1302E-06 .1185E-07 .1322E-06 .3656E-01
.2945E+03 .2358E-07 .1743E-06 .1960E-06 .2398E-07 .1928E-06 .3673E-01
.2950E+03 .5983E-07 .3379E-06 .3929E-06 .6082E-07 .3735E-06 .3690E-01
.2955E+03 .1972E-06 .8026E-06 .9840E-06 .2005E-06 .8867E-06 .3711E-01
.2960E+03 .4394E-06 .1530E-05 .1935E-05 .4466E-06 .1690E-05 .3728E-01
.2965E+03 .8347E-06 .2501E-05 .3269E-05 .8483E-06 .2761E-05 .3745E-01
.2970E+03 .1374E-05 .3674E-05 .4938E-05 .1396E-05 .4054E-05 .3761E-01
.2975E+03 .3445E-05 .8011E-05 .1118E-04 .3501E-05 .8835E-05 .3779E-01
.2980E+03 .6649E-05 .1399E-04 .2011E-04 .6755E-05 .1543E-04 .3796E-01
.2985E+03 .9634E-05 .1898E-04 .2784E-04 .9787E-05 .2092E-04 .3811E-01
.2990E+03 .1538E-04 .2876E-04 .4290E-04 .1562E-04 .3169E-04 .3825E-01
.2995E+03 .3394E-04 .6067E-04 .9189E-04 .3447E-04 .6684E-04 .3839E-01
.3000E+03 .4554E-04 .8051E-04 .1224E-03 .4625E-04 .8869E-04 .3851E-01
